"date_onset","detection_probability","state","count"
2020-04-07,1,"SA",0
2020-04-07,1,"TAS",15
2020-04-07,1,"VIC",4
2020-04-07,1,"WA",0
2020-04-08,1,"ACT",1
2020-04-08,1,"NSW",7
2020-04-08,1,"NT",0
2020-04-08,1,"QLD",1
2020-04-08,1,"SA",0
2020-04-08,1,"TAS",8
2020-04-08,1,"VIC",3
2020-04-08,1,"WA",1
2020-04-09,1,"ACT",0
2020-04-09,1,"NSW",14
2020-04-09,1,"NT",0
2020-04-09,1,"QLD",4
2020-04-09,1,"SA",0
2020-04-09,1,"TAS",13
2020-04-09,1,"VIC",2
2020-04-09,1,"WA",0
2020-04-10,1,"ACT",0
2020-04-10,1,"NSW",5
2020-04-10,1,"NT",0
2020-04-10,1,"QLD",1
2020-04-10,1,"SA",2
2020-04-10,1,"TAS",15
2020-04-10,1,"VIC",0
2020-04-10,1,"WA",0
2020-04-11,1,"ACT",1
2020-04-11,1,"NSW",11
2020-04-11,1,"NT",0
2020-04-11,1,"QLD",2
2020-04-11,1,"SA",1
2020-04-11,1,"TAS",7
2020-04-11,1,"VIC",4
2020-04-11,1,"WA",0
2020-04-12,1,"ACT",0
2020-04-12,1,"NSW",6
2020-04-12,1,"NT",0
2020-04-12,1,"QLD",0
2020-04-12,1,"SA",0
2020-04-12,1,"TAS",7
2020-04-12,1,"VIC",2
2020-04-12,1,"WA",1
2020-04-13,1,"ACT",0
2020-04-13,1,"NSW",10
2020-04-13,1,"NT",0
2020-04-13,1,"QLD",0
2020-04-13,1,"SA",0
2020-04-13,1,"TAS",3
2020-04-13,1,"VIC",3
2020-04-13,1,"WA",2
2020-04-14,1,"ACT",0
2020-04-14,1,"NSW",9
2020-04-14,1,"NT",0
2020-04-14,1,"QLD",1
2020-04-14,1,"SA",0
2020-04-14,1,"TAS",6
2020-04-14,1,"VIC",2
2020-04-14,1,"WA",0
2020-04-15,1,"ACT",0
2020-04-15,1,"NSW",5
2020-04-15,1,"NT",0
2020-04-15,1,"QLD",2
2020-04-15,1,"SA",0
2020-04-15,1,"TAS",9
2020-04-15,1,"VIC",1
2020-04-15,1,"WA",0
2020-04-16,1,"ACT",0
2020-04-16,1,"NSW",3
2020-04-16,1,"NT",0
2020-04-16,1,"QLD",0
2020-04-16,1,"SA",0
2020-04-16,1,"TAS",5
2020-04-16,1,"VIC",1
2020-04-16,1,"WA",2
2020-04-17,1,"ACT",0
2020-04-17,1,"NSW",14
2020-04-17,1,"NT",0
2020-04-17,1,"QLD",1
2020-04-17,1,"SA",0
2020-04-17,1,"TAS",2
2020-04-17,1,"VIC",7
2020-04-17,1,"WA",0
2020-04-18,1,"ACT",0
2020-04-18,1,"NSW",2
2020-04-18,1,"NT",0
2020-04-18,1,"QLD",0
2020-04-18,1,"SA",1
2020-04-18,1,"TAS",3
2020-04-18,1,"VIC",3
2020-04-18,1,"WA",0
2020-04-19,1,"ACT",0
2020-04-19,1,"NSW",2
2020-04-19,1,"NT",0
2020-04-19,1,"QLD",0
2020-04-19,1,"SA",0
2020-04-19,1,"TAS",2
2020-04-19,1,"VIC",0
2020-04-19,1,"WA",0
2020-04-20,1,"ACT",0
2020-04-20,1,"NSW",5
2020-04-20,1,"NT",0
2020-04-20,1,"QLD",1
2020-04-20,1,"SA",0
2020-04-20,1,"TAS",4
2020-04-20,1,"VIC",2
2020-04-20,1,"WA",0
2020-04-21,1,"ACT",0
2020-04-21,1,"NSW",2
2020-04-21,1,"NT",0
2020-04-21,1,"QLD",0
2020-04-21,1,"SA",0
2020-04-21,1,"TAS",0
2020-04-21,1,"VIC",1
2020-04-21,1,"WA",0
2020-04-22,1,"ACT",0
2020-04-22,1,"NSW",6
2020-04-22,1,"NT",0
2020-04-22,1,"QLD",0
2020-04-22,1,"SA",0
2020-04-22,1,"TAS",1
2020-04-22,1,"VIC",3
2020-04-22,1,"WA",0
2020-04-23,1,"ACT",0
2020-04-23,1,"NSW",5
2020-04-23,1,"NT",0
2020-04-23,1,"QLD",0
2020-04-23,1,"SA",0
2020-04-23,1,"TAS",3
2020-04-23,1,"VIC",10
2020-04-23,1,"WA",0
2020-04-24,1,"ACT",0
2020-04-24,1,"NSW",2
2020-04-24,1,"NT",0
2020-04-24,1,"QLD",0
2020-04-24,1,"SA",0
2020-04-24,1,"TAS",3
2020-04-24,1,"VIC",8
2020-04-24,1,"WA",1
2020-04-25,1,"ACT",0
2020-04-25,1,"NSW",5
2020-04-25,1,"NT",0
2020-04-25,1,"QLD",0
2020-04-25,1,"SA",0
2020-04-25,1,"TAS",0
2020-04-25,1,"VIC",5
2020-04-25,1,"WA",0
2020-04-26,1,"ACT",0
2020-04-26,1,"NSW",2
2020-04-26,1,"NT",0
2020-04-26,1,"QLD",0
