"type","date","bottom","top","lower","upper","median","mean","std","prob_control","mean_window","sd_window","confidence","date_onset","state","date_of_analysis"
"nowcast",2020-02-21,0.00986420825401263,2.83226478609286,0.140918019074303,1.09734504553171,1.00746014037703,1.34018610598968,1.19976256355964,0.497251585623679,3.01902748414376,2.12309067479723,0.999995766256318,2020-02-26,"SA","2020-04-26"
"nowcast",2020-02-22,0.00717419492365009,2.78308422164016,0.118615205915323,1.03621030960774,0.970954195015088,1.31254673502266,1.2031085935175,0.512746113989637,3.01658031088083,2.12026595941467,0.999993769383375,2020-02-27,"SA","2020-04-26"
"nowcast",2020-02-23,0.0103129635448696,2.64118003459923,0.110421015249956,0.998284349420498,0.942043874180383,1.24957488258979,1.10863464021172,0.529876796714579,3.02772073921971,2.12463378820879,0.999990760658039,2020-02-28,"SA","2020-04-26"
"nowcast",2020-02-24,0.0040729879925623,2.38148501789821,0.205927848775585,1.03291774305733,0.90476242011497,1.17528154250563,1.04771566817651,0.549285714285714,3.03469387755102,2.12930807086776,0.999987096039063,2020-02-29,"SA","2020-04-26"
"nowcast",2020-02-25,0.00523261694696194,2.21885095538794,0.158875648767038,0.94048986279947,0.840997595724436,1.07983936819662,0.906128728984757,0.584521384928717,3.03258655804481,2.12812849213891,0.999982133746992,2020-03-01,"SA","2020-04-26"
"nowcast",2020-02-26,0.0193612128811963,2.01428276767495,0.21778050129916,0.952570280209876,0.827197407866809,1.01837142667264,0.79343727130113,0.602631578947368,3.03036437246964,2.12788072338147,0.999975303499892,2020-03-02,"SA","2020-04-26"
"nowcast",2020-02-27,0.0353387019132246,1.85000680733398,0.225836921802973,0.904189822846067,0.787054202723545,0.95624466806483,0.712633650292938,0.633737373737374,3.03030303030303,2.12763053825964,0.999967190178262,2020-03-03,"SA","2020-04-26"
"nowcast",2020-02-28,0.0357303942829005,1.74238826344805,0.272023840365202,0.908122373712817,0.752723080151226,0.902925518154309,0.636803021011226,0.65832492431887,3.03128153380424,2.12677956389562,0.999956871391454,2020-03-04,"SA","2020-04-26"
"nowcast",2020-02-29,0.0695036040410281,1.62686682665507,0.295539148912937,0.883197947427856,0.753254644639838,0.871273192861835,0.561686611179456,0.681231079717457,3.03128153380424,2.12677956389562,0.99994418749166,2020-03-05,"SA","2020-04-26"
"nowcast",2020-03-01,0.134903338661778,1.51465746034638,0.341877099886603,0.872206230029386,0.735269225650544,0.829437308882086,0.489911838441974,0.71067472306143,3.03222557905337,2.1258066857864,0.999927841046527,2020-03-06,"SA","2020-04-26"
"nowcast",2020-03-02,0.167918172444732,1.46725839009275,0.346070845200573,0.849911916108574,0.736741737734667,0.814330383546642,0.443059180726594,0.724623115577889,3.03316582914573,2.12389057501294,0.999907133931815,2020-03-07,"SA","2020-04-26"
"nowcast",2020-03-03,0.175764971495689,1.39574662246761,0.405986011746832,0.872017079943135,0.730049348272108,0.810121921279658,0.421192584629832,0.737185929648241,3.03316582914573,2.12389057501294,0.999880512314633,2020-03-08,"SA","2020-04-26"
"nowcast",2020-03-04,0.216700600745246,1.34013328960991,0.427252593104621,0.853530604020785,0.719943301107032,0.787227646617469,0.374871152859171,0.761809045226131,3.03316582914573,2.12389057501294,0.999846296799081,2020-03-09,"SA","2020-04-26"
"nowcast",2020-03-05,0.268110878968815,1.27540247606747,0.448470721173264,0.837228012381261,0.714997419628085,0.765290417834577,0.330835114452569,0.792176529588766,3.03410230692076,2.12481446596178,0.999802334744202,2020-03-10,"SA","2020-04-26"
"nowcast",2020-03-06,0.28095712614112,1.15708922525081,0.474478858396486,0.818361177546391,0.67958782454412,0.719262737349072,0.287496778253735,0.851955867602808,3.03410230692076,2.12481446596178,0.999745868238412,2020-03-11,"SA","2020-04-26"
